Title,Description1,Description2,Company_name,Location,Salary_range,Date,Rating
Data Engineer- REF132758K,Should be able to handle both big data and small data.,Experience with data analytics tools.,Robert Bosch,"Bengaluru, Karnataka",,"Posted
1 day ago",4.1
Data Engineer,Must have 3 years of experience in Python.,Must have 3 years of experience in Oracle.,Diksha Technologies,"Gurgaon, Haryana","₹18,00,000 - ₹20,00,000 a year","Posted
24 days ago",4.3
Software Quality and Test Engineer,Execute the UAT scripts including any data setup as required.,Assist in the preparation of UAT scripts and other documentation with supervision from the…,Calyx,"Hyderabad, Telangana","₹2,80,679 - ₹7,50,000 a year","Employer
Active 3 days ago",
Data Engineer 1,"Design & develop data management and data persistence solutions for application use cases leveraging relational, non-relational databases and enhancing our data…",,JLL,"Bengaluru, Karnataka",,"Posted
8 days ago",3.7
Senior Data Engineer,Identifies the source of physical data.,Completes and executes data collection procedures.,Michelin,"Pune, Maharashtra",,"Posted
11 days ago",4.0
Data Engineer python developer,Write python scripts to fetch data and deliver it to multiple data sources.,"We act as the primary point of contact for business forecasting, delivering metrics…",Tvarit,"Mumbai, Maharashtra","₹6,00,000 - ₹12,00,000 a year","Employer
Active 6 days ago",
Data Engineer,Teams to assist with data-related technical issues and support their data.,You are an experienced data pipeline builder and data wrangler who enjoys.,SeekACE Solutions Pvt. Ltd.,"Jaipur, Rajasthan","₹5,68,419 - ₹14,33,070 a year","Employer
Active 4 days ago",
Data science engineer - PULSE,"Experience in data processing using traditional and distributed systems (e.g MongoDB, Airflow).","Master’s degree in Computer Science, related technical field or…",CGI Inc,"Bengaluru, Karnataka",Full-time,"Posted
1 day ago",3.6
Data Engineer,"Bachelor’s degree in computer science, software/computer engineering, applied mathematics, or.",2+ Year experience in ETL development with Data flow/SSIS / Glue…,Niveus Solutions,"Mumbai, Maharashtra","₹3,00,000 - ₹15,00,000 a year","Employer
Active 4 days ago",4.3
Data Engineer- Hindi,,,Reverie Language Technologies,"Bengaluru, Karnataka",,"Posted
30+ days ago",
Junior Application Support Engineer,"Competitive compensation, including base pay and annual incentive.","Comprehensive health and life insurance and well-being benefits, based on location.",DTCC,"Hybrid remote in Chennai, Tamil Nadu",Full-time,"Posted
1 day ago",3.7
Data Engineer,Expertise in calling APIs to load/retrieve the data.,4- 6 Years of Experience in Python.,Mobile Programming India Private Limited,"Chennai, Tamil Nadu
+1 location","₹4,79,611 - ₹17,94,179 a year","Employer
Active 6 days ago",
Data Engineer,Good knowledge on data-warehousing principles.,Data engineer: 2 years (Preferred).,JMS ADVISORY SERVICES PVT.LTD,"Thane, Maharashtra","₹2,00,000 - ₹8,00,000 a year","Posted
13 days ago",
Data Engineer,Exposure to analyzing & troubleshooting data in Genesys Infomart & Icon applications.,"Perform hands-on software development, data modelling, doing proof of…",Amex,Maharashtra,,"Posted
21 days ago",4.1
"Partner Customer Engineer, Data Management, Tech ISV Partner...",10 years of experience in data management solutions for enterprise (B2B) software.,Experience solutioning with two or more other types of data stores in…,Google,"Mumbai, Maharashtra",Full-time,"Posted
28 days ago",4.3
Staff Data Engineer,Architects and designs reliable and scalable data infrastructure.,"Deep and hands-on experience (typically 5+ years) designing, planning, productionizing,…",bp,"Pune, Maharashtra",Full-time,"Posted
30+ days ago",3.8
Staff Data Engineer- Visa AI Services,"Tools for large scale data processing, data transformation and machine learning pipelines.",Based on deep understanding and knowledge of big-data engineering…,Visa,"Hybrid remote in Bengaluru, Karnataka",Full-time,"Posted
30+ days ago",3.9
Senior Data Engineer,"Design and development of large-scale data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses…",,Global WeConnect Technologies,"Bengaluru, Karnataka","₹5,72,011 - ₹19,12,297 a year","Posted
2 days ago",
Data Science Engineer - 4,Provides guidance and leadership to more junior engineers.,"Mentor a diverse team of junior engineers in machine learning techniques, tools and concepts.",Comcast,"Chennai, Tamil Nadu",,"Posted
2 days ago",3.7
Associate Data Engineer - India,Excellent understanding of building data models for the target data warehouse.,Experience with legacy big data systems (ex: Hadoop).,CloudCover,India,Full-time,"Posted
30+ days ago",
Senior Associate - Python Data Engineer - GDC,"You’ll make impactful decisions by mixing mind and machine to leverage data, understand and navigate risk, and help our clients gain a competitive edge.",,PwC,"Kolkata, West Bengal",Full-time,"Posted
30+ days ago",4.0
Trainee Engineer,Strong engineering fundamental with good SW programming skills & Object Oriented Programming and data structure skills.,Good coding skills in C/ C++.,Thales,"Bengaluru, Karnataka",Full-time,"Posted
Today",3.9
Data Migration Engineer II,"At least 1 year Data acquisition, data migration and/or other data engineering work experience, including the design, development, implementation and/or support…",,Cerner Corporation,"Bengaluru, Karnataka",,"Posted
1 day ago",3.5
GCP Data Engineer,"Must have skills : GCP, Big query (must) and Python or Java.",,GLOINNT,"Delhi, Delhi",,"Posted
30+ days ago",
Data Managment Engineer -Proj. Services,"Data Management engineer plays a critical role in collaborating with project teams, collecting the data in standard templates, analyze, normalize and managing…",,Shell,"Bengaluru, Karnataka",Full-time,"Posted
30+ days ago",3.9
Data Engineer,"Perform data cleansing, transformation & feature engineering.","Design scalable automated data mining, modelling and validation processes.",Numadic,Remote in Goa,,"Posted
30+ days ago",
Technical Support Engineer 1 (I5),"At Dell Technologies, world-class service doesn’t end when a customer purchases our innovative products.","For critical matters, we use our systems to provide…",Dell Technologies,"Bengaluru, Karnataka
+2 locations",,"Posted
Today",4.0
Data Engineer,Build a scalable data pipeline for processing batch and real-time data.,Create and maintain an optimal data pipeline.,IQM Corporation,"Remote in Ahmedabad, Gujarat",Full-time,"Posted
30+ days ago",
Data Engineer,Good understanding of data warehousing concepts and dimensional data modelling.,Experience in ETL data processing and building data pipelines in production.,CredAvenue,"Hybrid remote in Chennai, Tamil Nadu",Full-time,"Posted
30+ days ago",
Python Data Engineer,Optional Skills -Azure Datalake gen2 -Azure SQL server -Azure Eventhub + Streaming -Postgres -Debezium -Devops.,,Harman International,"Bengaluru, Karnataka",,"Posted
7 days ago",3.9
Lead Data Engineer,Acts as a liaison to data owners to establish necessary data stewardship responsibilities (accountability for a particular data element/verifying accuracy of…,,BNY Mellon,"Pune, Maharashtra",,"Posted
9 days ago",3.5
Data Engineer_Ban_EAC_2022,Should be able to handle both big data and small data.,Experience with data analytics tools.,Bosch Group,"Bengaluru, Karnataka",Full-time,"Posted
30+ days ago",4.1
Data Engineer,"Experience in developing and optimizing ETL pipelines, bigdata data pipelines, and data-driven architectures.",Use data to discover tasks that can be automated.,Human Resource India,"Noida, Uttar Pradesh","₹8,00,000 - ₹15,00,000 a year","Posted
30+ days ago",
Image Process Engineer,"Strong background in image and signal processing, statistics, and data analysis.",Develop algorithms to analyze and integrate data from dense 3D point clouds…,Jobbycart Technologies,"Chennai, Tamil Nadu","₹25,000 - ₹45,000 a month","Posted
1 day ago",
Data Engineer,"BE Computer Science/IT/ECE with solid Python, NumPy, Pandas, Postgresql/MySQL, AWS, Docker, GIT, Javascript, Tableau, Extract Transform and Load, DBT Must be…",,Clustrex,"Madipakkam, Chennai, Tamil Nadu",,"Posted
3 days ago",
Software engineer - Internship,Worked on problems related to web or software systems or data engineering or data science.,Help build tools that would generate insights from healthcare…,Compile,"Bengaluru, Karnataka",Internship,"Posted
30+ days ago",
Data Engineer / Sr. Data Engineer,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.",Assist with data-related technical issues and support their data…,Colgate-Palmolive,"Mumbai, Maharashtra",,"Posted
30+ days ago",4.3
Associate Software Quality and Test Engineer,Execute the UAT scripts including any data setup as required.,Assist in the preparation of UAT scripts and other documentation with supervision from the…,Calyx,"Hyderabad, Telangana","₹2,80,679 - ₹5,20,000 a year","Employer
Active 3 days ago",
Data Engineer ( Tableau),You have a good understanding of data warehouse modeling.,You have a primary focus on Data Engineering and have a good experience with data visualization and…,Modus Create,"Remote in Pune, Maharashtra",Full-time,"Posted
16 days ago",
Data Quality Engineer,"Create, maintain, and improve data quality tracking mechanisms that identifies disruptions in data ingestion and processing.",,Autodesk,"Bengaluru, Karnataka",Full-time,"Posted
7 days ago",4.1
DATA - Data Engineer,Identifies the source of physical data.,Completes and executes data collection procedures.,Michelin,"Pune, Maharashtra",Full-time,"Posted
30+ days ago",4.0
Data Engineer 1 1,A good understanding of how data solutions satisfy business requirements and the consequences of sub-optimal design.,Experience of SQL and RDBMS technologies.,Edwards Ltd,"Pune, Maharashtra",,"Posted
13 days ago",
"Software Engineer, Data","Interface with data engineers, data scientists, product managers and all data stakeholders to understand their needs and promote best practices.",,Autodesk,"Bengaluru, Karnataka",Full-time,"Posted
1 day ago",4.1
Sr. Engineer - Systems Engineering,"Also define parameters, guidelines with respect to network tracking, data management for NOC team.","Job Family Descriptor Responsible for planning , designing…",Tata Communications,"Chennai, Tamil Nadu",,"Posted
7 days ago",4.0
Data Centre Engineer,1-3 years of experience as a Senior Administrator in Data Center Operations.,Strong Linux Administration (RHEL/CentOS).,Recruitree,"Bengaluru, Karnataka","₹10,00,000 a year","Employer
Active 9 days ago",
Data Engineer II (SQL Developer),Participate in community of practice with other engineers to help drive the technical roadmap of the organization.,,Nissan,"Thiruvananthapuram, Kerala",Full-time,"Posted
30+ days ago",3.8
